Date,Time(hours),Bus_id,Weather Condition,Temperature,Bus Stop ID,Bus Delay (mins),Population Density,Holiday Flag,Distance from Previous Bus Stop (km),Total Passenger Count,Bus Frequency (per hour),People Waiting
10/11/2024,07:00:00,Bus_11,Cloudy,28,26,8,7554,0,2.2,372,5,242
04/11/2024,19:00:00,Bus_3,Foggy,35,17,22,6283,1,1.61,207,4,158
22/11/2024,19:00:00,Bus_8,Sunny,29,9,12,5173,1,2.14,269,1,98
29/11/2024,18:00:00,Bus_14,Cloudy,33,4,22,6484,1,2.5,194,3,42
18/11/2024,18:00:00,Bus_14,Cloudy,23,23,17,4522,1,4.03,380,3,139
26/11/2024,06:00:00,Bus_10,Rainy,23,28,27,5601,0,3.16,403,1,283
12/11/2024,17:00:00,Bus_2,Rainy,12,14,10,5657,1,1.31,152,1,408
02/11/2024,18:00:00,Bus_14,Foggy,35,19,14,5159,1,1.07,237,2,227
10/11/2024,11:00:00,Bus_9,Cloudy,17,26,24,5449,0,1.41,88,4,423
30/11/2024,07:00:00,Bus_3,Cloudy,35,28,25,6830,0,2.64,11,1,72
04/11/2024,19:00:00,Bus_8,Rainy,34,3,24,3121,1,4.73,187,1,243
14/11/2024,18:00:00,Bus_16,Sunny,27,14,21,7368,1,3.55,214,2,18
16/11/2024,15:00:00,Bus_2,Sunny,32,8,28,4317,1,4.21,15,2,77
15/11/2024,19:00:00,Bus_6,Clear,25,24,18,7493,1,2.87,266,5,45
08/11/2024,17:00:00,Bus_12,Rainy,19,27,0,5518,0,2.45,297,3,472
14/11/2024,22:00:00,Bus_5,Clear,33,28,3,4230,0,1.43,411,4,371
23/11/2024,10:00:00,Bus_2,Rainy,17,1,13,4133,1,4.5,444,5,343
28/11/2024,07:00:00,Bus_16,Foggy,18,10,13,4301,1,4.13,73,1,140
25/11/2024,19:00:00,Bus_5,Cloudy,26,18,2,7034,1,1.67,52,2,177
30/11/2024,09:00:00,Bus_15,Foggy,28,16,29,4910,1,3.05,128,3,222
08/11/2024,14:00:00,Bus_12,Rainy,21,8,27,4505,1,2.95,28,5,415
21/11/2024,11:00:00,Bus_4,Cloudy,16,1,16,6185,0,3.5,65,3,92
16/11/2024,21:00:00,Bus_15,Sunny,15,12,2,4916,0,4.78,17,2,22
13/11/2024,11:00:00,Bus_11,Sunny,25,8,15,7915,0,3.32,351,5,172
18/11/2024,16:00:00,Bus_16,Clear,29,24,13,6548,1,3.16,428,5,92
15/11/2024,21:00:00,Bus_6,Rainy,31,16,29,5757,1,1.2,138,3,192
21/11/2024,17:00:00,Bus_14,Rainy,23,18,19,4956,0,1.25,319,2,77
24/11/2024,08:00:00,Bus_18,Sunny,28,4,28,3178,0,1.75,229,1,281
26/11/2024,14:00:00,Bus_12,Foggy,23,6,12,3896,1,1.13,254,5,364
25/11/2024,07:00:00,Bus_11,Cloudy,9,12,14,4551,0,3.97,477,1,179
28/11/2024,13:00:00,Bus_13,Foggy,33,27,13,3491,1,3.89,210,2,238
28/11/2024,17:00:00,Bus_11,Foggy,22,9,23,3060,1,1.54,431,5,135
28/11/2024,22:00:00,Bus_16,Sunny,13,15,24,4077,0,4.34,294,5,365
13/11/2024,19:00:00,Bus_15,Sunny,19,16,18,5895,0,1.62,231,1,390
09/11/2024,08:00:00,Bus_15,Sunny,24,24,5,7160,0,2.2,241,4,280
29/11/2024,19:00:00,Bus_4,Clear,10,12,9,6683,1,2,70,1,19
15/11/2024,06:00:00,Bus_11,Foggy,16,24,26,3585,1,2.49,104,1,83
13/11/2024,19:00:00,Bus_19,Rainy,19,23,14,6960,0,2.02,204,4,228
01/11/2024,12:00:00,Bus_15,Cloudy,26,14,20,6770,1,2.96,53,2,371
25/11/2024,12:00:00,Bus_4,Clear,11,13,21,3534,1,2.63,462,2,265
07/11/2024,21:00:00,Bus_13,Rainy,34,25,19,6462,1,4.95,428,5,112
09/11/2024,16:00:00,Bus_19,Foggy,9,2,25,7011,0,1.22,375,3,251
24/11/2024,14:00:00,Bus_2,Sunny,19,3,5,6398,1,1.57,330,3,164
01/11/2024,13:00:00,Bus_14,Foggy,24,26,22,5155,0,1.21,54,5,358
12/11/2024,09:00:00,Bus_4,Cloudy,26,24,24,4004,0,3.5,276,3,168
08/11/2024,10:00:00,Bus_16,Clear,24,30,9,5499,1,1.22,335,1,221
24/11/2024,06:00:00,Bus_14,Clear,31,22,6,3326,0,4.35,31,1,408
11/11/2024,17:00:00,Bus_15,Cloudy,18,10,21,7703,1,3.05,135,4,304
19/11/2024,10:00:00,Bus_3,Rainy,26,9,16,5706,0,3.11,58,4,191
17/11/2024,09:00:00,Bus_8,Rainy,14,26,17,3001,0,3.25,105,5,325
08/11/2024,05:00:00,Bus_16,Clear,27,20,16,4033,1,1.68,266,5,437
03/11/2024,10:00:00,Bus_10,Clear,12,8,8,5481,0,1.79,10,5,438
03/11/2024,10:00:00,Bus_4,Sunny,35,10,9,3124,0,2.28,496,1,170
01/11/2024,20:00:00,Bus_18,Rainy,21,19,9,4104,0,3.37,253,3,375
27/11/2024,08:00:00,Bus_2,Cloudy,32,3,24,5699,1,1.84,295,5,45
05/11/2024,15:00:00,Bus_17,Rainy,22,24,6,4861,1,1.47,156,5,381
10/11/2024,13:00:00,Bus_13,Sunny,11,5,15,5920,0,4.88,158,1,474
07/11/2024,07:00:00,Bus_4,Clear,18,3,28,3128,0,1.09,37,1,14
26/11/2024,12:00:00,Bus_11,Clear,14,26,17,3437,0,4.21,119,1,231
09/11/2024,09:00:00,Bus_7,Sunny,9,27,5,7846,1,4.15,67,3,157
28/11/2024,08:00:00,Bus_12,Cloudy,31,16,26,5548,1,2.19,242,5,500
07/11/2024,10:00:00,Bus_10,Clear,32,17,19,6129,0,1.54,299,2,134
09/11/2024,06:00:00,Bus_7,Foggy,35,15,0,4221,1,1.58,463,2,391
08/11/2024,15:00:00,Bus_13,Clear,22,3,0,3901,1,3.79,213,5,37
12/11/2024,08:00:00,Bus_7,Foggy,16,12,11,6168,1,3.57,308,5,53
02/11/2024,19:00:00,Bus_17,Sunny,27,9,20,7486,1,4.13,101,5,18
01/11/2024,10:00:00,Bus_10,Sunny,22,21,27,6918,0,4.75,56,5,471
16/11/2024,21:00:00,Bus_10,Clear,18,12,1,4067,1,3.77,332,3,492
23/11/2024,10:00:00,Bus_4,Rainy,25,26,3,3026,1,1.62,324,2,38
23/11/2024,06:00:00,Bus_4,Foggy,17,15,16,3547,0,1.97,239,4,187
30/11/2024,19:00:00,Bus_7,Cloudy,14,2,3,5668,0,4.37,393,2,385
24/11/2024,15:00:00,Bus_1,Clear,19,23,10,3566,1,1.84,231,2,196
05/11/2024,12:00:00,Bus_12,Cloudy,33,18,21,3703,1,1.29,362,1,243
03/11/2024,17:00:00,Bus_13,Clear,15,20,25,7280,0,3.81,381,5,300
12/11/2024,16:00:00,Bus_10,Rainy,25,12,3,6140,0,2.61,92,5,303
08/11/2024,09:00:00,Bus_15,Rainy,9,23,0,4590,0,4.68,279,5,35
22/11/2024,10:00:00,Bus_13,Rainy,30,4,6,7943,1,3.6,447,1,215
27/11/2024,08:00:00,Bus_9,Rainy,13,23,29,7694,1,1.36,109,3,219
03/11/2024,05:00:00,Bus_9,Sunny,17,16,17,3805,0,4.79,317,3,316
01/11/2024,21:00:00,Bus_15,Sunny,26,23,8,6791,1,2.03,168,4,90
03/11/2024,16:00:00,Bus_10,Foggy,32,16,28,4357,0,2.35,300,3,308
05/11/2024,19:00:00,Bus_10,Cloudy,35,1,2,6225,1,2.61,470,3,252
15/11/2024,05:00:00,Bus_8,Clear,29,22,7,6618,0,1.2,408,5,8
14/11/2024,18:00:00,Bus_16,Clear,10,25,28,5126,0,2.99,435,2,256
03/11/2024,10:00:00,Bus_17,Sunny,34,2,23,5460,1,1.49,442,3,363
01/11/2024,09:00:00,Bus_5,Clear,19,30,18,3545,1,2.6,218,3,208
05/11/2024,15:00:00,Bus_4,Sunny,35,3,3,5728,1,2.4,222,1,425
26/11/2024,08:00:00,Bus_18,Foggy,14,26,17,6734,1,4.09,161,4,131
23/11/2024,17:00:00,Bus_19,Cloudy,34,21,19,5562,1,4.21,16,1,224
14/11/2024,15:00:00,Bus_4,Foggy,16,25,26,5079,1,1.61,278,5,197
07/11/2024,07:00:00,Bus_7,Rainy,12,20,10,5641,0,2.47,497,2,468
27/11/2024,05:00:00,Bus_10,Rainy,26,17,26,6114,1,2.49,57,4,142
09/11/2024,10:00:00,Bus_18,Rainy,19,20,13,4926,0,1.61,62,1,252
15/11/2024,22:00:00,Bus_19,Foggy,13,22,24,3616,0,4.19,498,3,96
15/11/2024,14:00:00,Bus_4,Clear,23,21,17,6644,1,3.83,363,3,26
26/11/2024,09:00:00,Bus_10,Cloudy,26,30,27,4203,0,1.76,466,4,111
10/11/2024,14:00:00,Bus_1,Rainy,10,29,27,4759,0,2.47,327,3,454
28/11/2024,16:00:00,Bus_18,Rainy,30,1,28,5565,1,1.42,242,1,123
13/11/2024,06:00:00,Bus_5,Rainy,19,20,15,6174,1,3.51,90,1,186
19/11/2024,17:00:00,Bus_15,Cloudy,34,6,2,6081,1,1.49,72,3,484
07/11/2024,12:00:00,Bus_17,Rainy,33,29,14,5630,0,4.94,326,3,168
17/11/2024,06:00:00,Bus_3,Cloudy,21,15,26,6161,1,4.12,30,5,51
20/11/2024,05:00:00,Bus_12,Rainy,12,26,26,7321,1,2.56,359,2,379
29/11/2024,09:00:00,Bus_2,Foggy,30,26,30,3669,1,3.31,407,4,5
04/11/2024,13:00:00,Bus_1,Foggy,15,14,3,6168,1,4.65,288,1,77
30/11/2024,21:00:00,Bus_17,Cloudy,19,20,4,5121,0,3.22,86,4,160
05/11/2024,13:00:00,Bus_16,Foggy,30,15,16,7078,1,1.7,234,5,208
23/11/2024,15:00:00,Bus_5,Cloudy,32,14,6,7151,0,2.51,235,1,257
07/11/2024,19:00:00,Bus_15,Foggy,12,25,15,3719,1,4.37,313,5,205
13/11/2024,10:00:00,Bus_3,Foggy,23,21,13,5600,0,3.58,365,5,255
15/11/2024,07:00:00,Bus_7,Cloudy,9,24,25,6598,0,3.6,265,3,438
11/11/2024,21:00:00,Bus_11,Clear,31,25,15,7669,0,4.47,287,4,11
29/11/2024,09:00:00,Bus_10,Foggy,11,26,6,3666,1,4.58,327,4,437
04/11/2024,16:00:00,Bus_9,Rainy,22,5,8,3283,0,4.68,393,3,8
13/11/2024,22:00:00,Bus_14,Clear,14,6,3,6903,1,1.38,269,4,409
07/11/2024,18:00:00,Bus_13,Cloudy,26,17,29,6565,1,3.18,186,3,424
27/11/2024,15:00:00,Bus_2,Clear,33,11,29,5234,1,3.96,131,1,32
19/11/2024,13:00:00,Bus_3,Sunny,9,16,21,7593,1,4.03,291,5,472
22/11/2024,06:00:00,Bus_7,Sunny,14,12,10,4465,1,3.43,481,5,28
28/11/2024,16:00:00,Bus_18,Foggy,14,15,1,3129,0,1.67,277,4,206
02/11/2024,07:00:00,Bus_3,Foggy,29,23,11,7734,1,4.19,320,2,493
10/11/2024,07:00:00,Bus_10,Rainy,24,4,11,5060,0,3.88,351,5,387
13/11/2024,05:00:00,Bus_7,Clear,13,27,29,6672,0,1.34,180,3,228
30/11/2024,12:00:00,Bus_9,Sunny,25,18,3,5494,0,2.86,290,2,128
25/11/2024,12:00:00,Bus_17,Foggy,18,21,17,3992,0,1.7,480,2,255
21/11/2024,15:00:00,Bus_11,Clear,29,28,25,5121,0,2.35,377,5,475
06/11/2024,13:00:00,Bus_7,Foggy,26,3,20,5584,0,1.07,163,5,212
28/11/2024,09:00:00,Bus_14,Foggy,15,22,30,7196,0,2.6,271,5,239
28/11/2024,18:00:00,Bus_19,Sunny,11,8,6,5223,1,3.2,376,3,207
12/11/2024,07:00:00,Bus_4,Sunny,21,23,28,7522,0,3.48,96,2,318
12/11/2024,09:00:00,Bus_6,Foggy,23,3,0,6188,1,3.65,262,4,283
20/11/2024,09:00:00,Bus_10,Cloudy,28,8,30,6237,0,4.35,365,3,245
30/11/2024,18:00:00,Bus_7,Foggy,27,18,25,7136,0,1.86,469,1,45
30/11/2024,08:00:00,Bus_13,Foggy,11,10,25,7524,0,1.48,353,5,105
11/11/2024,17:00:00,Bus_14,Rainy,12,25,22,3343,0,4.41,288,2,348
26/11/2024,14:00:00,Bus_4,Rainy,13,20,25,7461,1,1.63,436,3,281
23/11/2024,22:00:00,Bus_8,Rainy,9,17,12,7704,1,4.9,83,1,234
28/11/2024,12:00:00,Bus_5,Cloudy,12,8,5,7823,1,4.37,225,3,189
25/11/2024,12:00:00,Bus_1,Cloudy,20,23,5,5276,0,3,412,3,44
07/11/2024,11:00:00,Bus_4,Foggy,35,11,11,7920,0,4.93,223,4,494
30/11/2024,12:00:00,Bus_3,Rainy,32,29,7,6201,0,1.39,469,4,225
01/11/2024,18:00:00,Bus_9,Cloudy,18,5,23,3888,1,2.21,118,3,430
01/11/2024,10:00:00,Bus_8,Sunny,31,26,21,5043,0,3.55,482,1,142
25/11/2024,05:00:00,Bus_1,Foggy,33,13,18,4341,1,2.4,192,2,136
27/11/2024,19:00:00,Bus_6,Clear,29,21,4,6720,1,4.71,79,2,176
30/11/2024,05:00:00,Bus_9,Foggy,34,23,17,5883,0,1.26,78,5,142
25/11/2024,21:00:00,Bus_7,Clear,28,5,30,7212,0,3.2,147,5,449
20/11/2024,05:00:00,Bus_4,Rainy,32,24,29,5415,1,3.36,107,2,80
13/11/2024,19:00:00,Bus_13,Clear,33,27,4,4117,1,3.61,382,3,82
09/11/2024,06:00:00,Bus_17,Rainy,21,13,29,7263,1,2.02,271,3,135
03/11/2024,18:00:00,Bus_2,Sunny,31,6,24,6001,0,2.46,390,4,207
07/11/2024,12:00:00,Bus_5,Clear,22,29,9,4738,0,4.37,244,4,344
06/11/2024,12:00:00,Bus_12,Foggy,31,5,0,4364,0,1.78,73,5,177
08/11/2024,11:00:00,Bus_8,Rainy,13,9,9,5708,0,4.31,357,2,383
27/11/2024,10:00:00,Bus_6,Foggy,12,27,4,7790,0,3.25,468,3,243
09/11/2024,10:00:00,Bus_8,Cloudy,22,16,11,3924,0,4.05,354,2,55
30/11/2024,07:00:00,Bus_18,Rainy,18,2,21,3151,1,3.85,422,1,141
05/11/2024,11:00:00,Bus_3,Clear,25,1,29,3585,1,1.83,26,2,457
01/11/2024,12:00:00,Bus_12,Rainy,18,8,26,3912,1,3.28,210,1,440
19/11/2024,14:00:00,Bus_3,Foggy,34,28,6,5321,0,4.47,92,4,56
10/11/2024,19:00:00,Bus_6,Sunny,15,19,8,3495,1,2.73,125,4,15
12/11/2024,19:00:00,Bus_2,Rainy,24,30,21,6795,0,4.87,435,5,185
24/11/2024,05:00:00,Bus_12,Clear,9,11,20,5148,0,2.81,73,2,314
15/11/2024,11:00:00,Bus_2,Cloudy,25,28,11,3556,1,1.57,480,2,419
27/11/2024,08:00:00,Bus_6,Sunny,29,12,22,4552,0,2.56,123,1,88
22/11/2024,10:00:00,Bus_17,Cloudy,17,12,28,5120,1,4.81,309,4,97
24/11/2024,05:00:00,Bus_3,Rainy,14,7,0,6085,1,2.28,184,1,144
09/11/2024,09:00:00,Bus_2,Foggy,27,26,10,6504,0,4.47,187,4,8
20/11/2024,05:00:00,Bus_8,Foggy,21,13,29,3156,1,4.53,198,1,477
17/11/2024,08:00:00,Bus_12,Clear,11,27,20,3734,1,2.4,78,4,215
30/11/2024,06:00:00,Bus_4,Foggy,15,8,14,7654,1,1.33,348,1,173
17/11/2024,14:00:00,Bus_5,Sunny,30,29,1,6276,1,3.9,186,4,223
26/11/2024,09:00:00,Bus_13,Foggy,17,29,19,3154,0,2.25,344,1,40
20/11/2024,14:00:00,Bus_15,Clear,30,22,6,3996,1,4.13,253,2,497
12/11/2024,05:00:00,Bus_16,Rainy,13,28,20,5294,1,2.77,13,5,182
30/11/2024,10:00:00,Bus_10,Rainy,18,26,11,7626,1,2.94,299,1,270
07/11/2024,17:00:00,Bus_16,Foggy,31,30,21,5905,0,4.11,76,5,187
02/11/2024,19:00:00,Bus_12,Cloudy,25,9,17,7824,1,2.53,51,2,245
03/11/2024,08:00:00,Bus_17,Rainy,20,7,2,4177,0,2.77,275,2,478
17/11/2024,17:00:00,Bus_16,Foggy,31,26,6,3153,1,2.5,149,4,309
05/11/2024,19:00:00,Bus_12,Clear,24,21,10,7187,1,2.47,219,5,231
17/11/2024,12:00:00,Bus_8,Foggy,11,24,17,4716,1,3.1,122,3,383
24/11/2024,09:00:00,Bus_3,Rainy,33,15,11,6202,0,4.24,211,4,155
17/11/2024,19:00:00,Bus_16,Clear,30,2,5,5857,0,2.45,280,5,175
27/11/2024,08:00:00,Bus_13,Foggy,17,23,4,3786,0,3.1,26,1,336
17/11/2024,16:00:00,Bus_19,Sunny,23,20,25,7368,0,3.68,173,1,115
02/11/2024,17:00:00,Bus_8,Clear,13,25,0,7272,0,2.08,156,2,390
02/11/2024,06:00:00,Bus_5,Sunny,31,12,11,6767,0,2.11,238,3,311
28/11/2024,08:00:00,Bus_8,Cloudy,21,1,26,5878,1,4.73,376,1,481
22/11/2024,08:00:00,Bus_12,Clear,22,23,30,3642,0,3.89,82,5,300
23/11/2024,15:00:00,Bus_1,Sunny,28,22,25,7662,1,3.31,492,5,18
05/11/2024,09:00:00,Bus_6,Rainy,23,8,10,3665,0,3.59,356,1,272
01/11/2024,15:00:00,Bus_18,Rainy,24,5,3,6426,0,1.12,490,5,12
01/11/2024,14:00:00,Bus_8,Cloudy,31,15,26,6783,0,3.47,413,5,404
19/11/2024,12:00:00,Bus_7,Clear,21,1,17,6701,1,3.04,273,2,301
30/11/2024,10:00:00,Bus_1,Clear,25,1,3,4069,0,3.18,68,3,192
02/11/2024,10:00:00,Bus_16,Clear,31,25,16,5349,0,2.44,44,2,232
21/11/2024,12:00:00,Bus_12,Cloudy,16,10,1,7503,1,1.33,493,3,443
12/11/2024,19:00:00,Bus_6,Clear,29,22,28,4212,1,1.77,61,5,93
26/11/2024,18:00:00,Bus_2,Rainy,10,10,23,4152,1,4.8,123,3,478
06/11/2024,15:00:00,Bus_14,Sunny,13,21,21,5511,1,2.63,349,5,218
23/11/2024,16:00:00,Bus_4,Rainy,14,15,1,3143,0,2.87,196,5,278
04/11/2024,17:00:00,Bus_1,Rainy,20,17,11,5489,1,1.21,330,2,353
23/11/2024,12:00:00,Bus_18,Sunny,26,22,30,6228,0,1.15,409,2,487
11/11/2024,22:00:00,Bus_13,Rainy,30,6,5,7582,0,3.87,479,4,303
24/11/2024,05:00:00,Bus_2,Cloudy,30,3,9,7955,1,3.15,323,1,29
27/11/2024,19:00:00,Bus_9,Sunny,9,13,24,6205,0,3.03,111,4,470
17/11/2024,12:00:00,Bus_2,Rainy,25,16,22,7243,1,1.97,258,4,301
06/11/2024,15:00:00,Bus_9,Foggy,19,8,24,6142,0,3.98,89,3,77
24/11/2024,16:00:00,Bus_1,Rainy,18,30,20,6304,1,1.67,433,5,9
05/11/2024,16:00:00,Bus_11,Cloudy,27,15,22,4357,1,1.76,198,5,24
20/11/2024,08:00:00,Bus_3,Clear,22,17,26,5713,1,2.84,282,5,15
02/11/2024,20:00:00,Bus_4,Rainy,34,17,15,7185,1,2.15,200,1,164
06/11/2024,08:00:00,Bus_18,Clear,18,22,30,4357,1,1.99,99,3,13
